subscription_id,customer_id,plan_id,start_date,end_date,is_auto_renew,current_status,cancellation_reason
1,14552,3,2023-08-12,2024-08-06,1,Active,
2,3737,2,2023-11-25,2024-02-23,0,Active,
3,18456,1,2024-08-29,2024-09-28,1,Active,
4,4097,2,2024-10-28,2025-01-26,0,Active,
5,18455,2,2023-12-30,2024-03-29,1,Active,
6,15532,3,2024-09-12,2025-09-07,1,Active,
7,8855,3,2023-08-03,2024-07-28,0,Cancelled,Found Alternative
8,8523,3,2023-03-25,2024-03-19,1,Active,
9,11954,3,2024-09-08,2025-09-03,1,Active,
10,15899,2,2023-12-05,2024-03-04,0,Active,
11,914,1,2024-11-17,2024-12-17,1,Active,
12,17507,3,2024-09-23,2025-09-18,0,Active,
13,19033,1,2024-09-10,2024-10-10,0,Cancelled,
14,3797,3,2023-06-29,2024-06-23,1,Cancelled,Found Alternative
15,18933,3,2024-10-07,2025-10-02,0,Active,
16,18257,1,2023-09-22,2023-10-22,0,Active,
17,16663,3,2024-11-20,2025-11-15,1,Active,
18,18111,2,2023-04-29,2023-07-28,1,Active,
19,10963,1,2024-07-11,2024-08-10,1,Active,
20,10151,1,2024-07-14,2024-08-13,0,Active,
21,15133,3,2024-09-21,2025-09-16,0,Cancelled,Found Alternative
22,14277,3,2023-05-25,2024-05-19,0,Active,
23,12026,3,2023-10-15,2024-10-09,1,Active,
24,13855,3,2024-07-04,2025-06-29,1,Active,
25,5312,1,2023-08-31,2023-09-30,0,Active,
26,4619,3,2024-07-21,2025-07-16,0,Cancelled,Found Alternative
27,18411,2,2023-07-11,2023-10-09,0,Active,
28,12177,2,2024-09-13,2024-12-12,1,Active,
29,1996,2,2023-12-16,2024-03-15,1,Active,
30,19312,1,2023-09-23,2023-10-23,1,Active,
31,6367,1,2023-05-29,2023-06-28,0,Cancelled,
32,9150,1,2023-08-07,2023-09-06,0,Active,
33,15772,2,2023-10-26,2024-01-24,1,Active,
34,6808,1,2024-04-28,2024-05-28,0,Active,
35,16857,1,2024-04-07,2024-05-07,1,Active,
36,2004,1,2024-05-06,2024-06-05,1,Active,
37,5317,2,2023-12-01,2024-02-29,1,Active,
38,10153,1,2024-02-05,2024-03-06,0,Active,
39,5101,1,2023-05-08,2023-06-07,1,Active,
40,1165,3,2024-08-09,2025-08-04,1,Active,
41,14942,3,2024-08-11,2025-08-06,0,Active,
42,16015,2,2023-01-24,2023-04-24,0,Active,
43,7495,2,2024-01-06,2024-04-05,1,Active,
44,17534,3,2024-02-22,2025-02-16,1,Active,
45,10372,3,2024-01-14,2025-01-08,0,Active,
46,4621,2,2024-11-02,2025-01-31,0,Cancelled,Not Using Enough
47,16108,2,2023-02-17,2023-05-18,1,Active,
48,11533,1,2023-08-23,2023-09-22,1,Active,
49,8995,1,2023-03-24,2023-04-23,1,Active,
50,10492,3,2023-09-28,2024-09-22,1,Active,
51,706,2,2024-06-28,2024-09-26,0,Cancelled,Found Alternative
52,19536,2,2024-01-07,2024-04-06,0,Active,
53,5505,1,2023-01-01,2023-01-31,1,Active,
54,18671,2,2024-04-03,2024-07-02,1,Active,
55,6400,1,2024-07-14,2024-08-13,0,Active,
56,923,3,2024-08-06,2025-08-01,0,Cancelled,
57,9416,2,2023-08-12,2023-11-10,1,Active,
58,15699,2,2024-08-26,2024-11-24,1,Active,
59,1156,3,2023-09-17,2024-09-11,0,Active,
60,8058,3,2023-05-09,2024-05-03,0,Active,
61,3558,1,2023-09-11,2023-10-11,1,Active,
62,1511,1,2024-04-28,2024-05-28,1,Active,
63,18672,1,2023-03-24,2023-04-23,0,Active,
64,2333,3,2024-06-22,2025-06-17,1,Active,
65,5831,1,2023-11-13,2023-12-13,1,Active,
66,16133,1,2024-03-29,2024-04-28,1,Active,
67,6704,3,2023-06-26,2024-06-20,1,Active,
68,2961,1,2024-07-10,2024-08-09,0,Active,
69,8892,1,2024-07-08,2024-08-07,0,Cancelled,
70,12417,2,2024-10-31,2025-01-29,0,Active,
71,17682,3,2024-10-30,2025-10-25,0,Active,
72,15465,2,2024-10-09,2025-01-07,1,Active,
73,11981,2,2024-07-23,2024-10-21,1,Cancelled,
74,1227,2,2024-10-02,2024-12-31,1,Active,
75,17538,3,2023-06-12,2024-06-06,1,Active,
76,9073,2,2023-05-04,2023-08-02,1,Cancelled,Found Alternative
77,261,1,2023-03-31,2023-04-30,0,Active,
78,13343,1,2023-11-13,2023-12-13,1,Active,
79,6995,3,2023-12-28,2024-12-22,1,Active,
