ticket_id,customer_id,ticket_date,issue_type,priority,resolution_time_hr,is_resolved,satisfaction_score
1,9357,2023-07-13,Other,High,5.5,0,1
2,14149,2023-07-10,Technical,Medium,14.6,0,5
3,16017,2023-10-16,Other,High,40.7,1,1
4,13210,2023-09-26,Other,Low,27.5,1,4
5,9116,2023-10-27,Technical,High,11.7,1,5
6,9086,2024-11-01,Content,Medium,45.7,1,4
7,3732,2023-03-27,Other,Low,47.5,1,3
8,8538,2024-07-25,Login,Medium,2.0,0,3
9,14878,2023-09-26,Content,High,6.6,0,5
10,4655,2023-03-20,Technical,Medium,11.9,0,5
11,1607,2024-11-08,Content,Medium,7.0,1,3
12,11907,2024-06-02,Payment,High,19.0,1,1
13,16698,2023-06-03,Technical,High,2.4,0,5
14,9846,2023-11-26,Content,Low,4.3,0,1
15,13224,2024-12-13,Content,High,18.7,1,4
16,18314,2023-07-12,Login,Low,9.5,0,3
17,13087,2023-08-15,Payment,High,13.9,0,4
18,5433,2024-08-12,Technical,Low,10.9,1,2
19,14425,2023-03-11,Payment,Low,45.3,0,4
20,13822,2024-01-22,Login,High,39.7,0,4
21,16152,2024-09-21,Payment,High,7.3,0,1
22,4493,2024-11-25,Technical,Low,34.9,1,4
23,14574,2024-04-20,Login,High,26.2,1,5
24,7133,2024-12-06,Payment,Medium,16.8,0,3
25,17820,2024-04-02,Other,High,22.4,1,2
26,18707,2023-02-27,Technical,High,27.1,0,5
27,998,2023-11-08,Other,Medium,29.3,1,5
28,11680,2024-08-13,Login,Low,18.1,1,2
29,5237,2024-03-09,Other,High,41.0,1,3
30,19017,2024-02-09,Content,High,12.5,1,4
31,3040,2023-12-15,Login,High,2.6,1,3
32,5916,2024-12-19,Login,High,13.6,0,2
33,2828,2023-12-12,Login,High,19.7,1,2
34,14785,2024-12-12,Other,Low,21.3,0,4
35,7526,2024-01-09,Login,High,39.0,0,1
36,6494,2023-05-20,Other,Medium,23.8,1,2
37,9005,2024-05-10,Other,Low,33.2,1,5
38,16428,2024-12-13,Payment,Medium,36.3,1,2
39,10694,2023-06-19,Login,Low,3.6,0,4
40,7150,2024-05-12,Content,Low,30.5,0,5
41,312,2023-09-23,Payment,Medium,28.2,1,3
42,7618,2023-09-03,Content,High,33.1,0,5
43,18456,2024-10-26,Content,Medium,25.3,0,1
44,14916,2023-08-18,Other,High,22.1,1,3
45,10658,2023-10-03,Login,High,2.9,0,1
46,2082,2023-07-07,Content,Medium,44.2,0,4
47,15545,2023-10-18,Other,Medium,40.8,1,3
48,14271,2024-01-14,Content,Low,34.3,1,4
49,5683,2024-04-06,Login,High,8.9,0,4
50,8372,2024-12-13,Other,Medium,8.5,0,3
51,18773,2023-08-17,Other,High,35.4,0,2
52,8049,2023-06-19,Login,Low,42.4,0,5
53,18251,2023-06-15,Login,High,11.5,1,3
54,366,2024-06-12,Content,Medium,22.6,1,1
55,5368,2023-03-08,Content,Low,23.0,0,3
56,7456,2023-01-27,Other,Medium,14.0,1,3
57,12829,2024-07-01,Technical,High,8.4,0,2
58,12645,2023-06-06,Other,Low,18.8,0,2
59,17628,2023-11-25,Login,High,24.8,1,4
60,15153,2024-05-17,Technical,High,20.1,1,2
61,14661,2024-10-27,Other,Medium,31.0,1,4
62,9048,2023-10-15,Content,Medium,24.6,1,5
63,12324,2024-03-16,Other,Medium,9.2,0,1
64,16637,2024-04-29,Login,High,36.7,1,5
65,5533,2023-07-10,Technical,Medium,32.7,0,5
66,16136,2024-09-13,Content,Low,4.1,1,1
67,5470,2023-03-23,Login,Low,43.2,1,2
68,14966,2023-05-12,Content,Low,4.3,1,5
69,19520,2024-04-30,Content,Medium,40.9,1,1
70,18049,2023-02-26,Content,Medium,8.3,0,1
71,13526,2024-03-05,Login,High,6.1,0,3
72,16592,2023-08-05,Login,High,30.2,0,5
73,19117,2024-09-26,Payment,High,29.2,0,5
74,17178,2024-10-14,Login,Low,7.4,1,4
75,8246,2023-02-06,Content,Low,2.8,1,3
76,19412,2023-10-18,Login,High,46.4,0,5
77,3282,2023-06-26,Other,Low,6.8,0,4
78,2187,2024-01-06,Content,Low,1.6,0,1
79,1848,2023-06-25,Payment,High,38.4,1,3
80,774,2024-07-26,Login,Low,39.0,0,5
81,12913,2024-02-04,Payment,High,6.4,0,3
82,1813,2024-02-19,Content,High,16.5,0,3
83,14242,2024-06-26,Content,High,34.2,1,1
84,7781,2023-12-12,Payment,High,28.9,0,5
85,4088,2023-12-15,Other,Low,47.7,1,2
86,1739,2023-09-05,Technical,Medium,5.6,0,2
87,19360,2023-12-16,Payment,Medium,10.5,1,2
88,18779,2024-09-13,Payment,High,6.9,0,1
89,11081,2024-11-03,Technical,High,36.3,0,4
90,6593,2023-01-23,Other,Low,29.7,1,1
91,16013,2024-06-19,Payment,Medium,15.5,1,3
92,117,2024-12-12,Other,High,27.0,0,1
93,14058,2024-03-02,Other,Low,43.4,0,4
94,10032,2024-01-22,Payment,High,22.7,0,4
95,8379,2024-12-04,Other,Low,45.7,0,5
96,19395,2024-09-03,Technical,Medium,9.7,1,2
97,14278,2023-11-01,Login,Medium,27.9,0,3
98,9350,2023-09-17,Content,Medium,24.4,1,3
99,12954,2024-02-28,Other,High,2.6,1,3
100,5774,2024-07-29,Other,Medium,33.0,1,4
101,7091,2024-09-11,Payment,Medium,33.8,0,5
102,1349,2023-11-13,Content,Medium,15.5,0,4
103,18842,2024-06-10,Content,High,13.5,1,1
104,9458,2023-08-23,Other,Medium,2.4,1,1
105,9807,2023-09-07,Login,Medium,42.8,1,4
106,18467,2024-04-29,Payment,Medium,40.9,1,4
107,1190,2024-08-21,Payment,High,33.7,1,4
108,10932,2024-04-27,Technical,Low,20.5,1,3
109,15044,2024-12-14,Technical,Medium,43.8,1,3
110,1904,2023-01-27,Technical,Low,47.4,1,3
111,1412,2024-09-21,Content,Low,43.3,0,3
112,7425,2023-05-03,Technical,Medium,29.4,1,3
113,1042,2024-08-07,Other,Low,23.6,0,5
114,4218,2023-11-01,Login,High,5.4,1,1
115,8453,2023-03-31,Technical,High,36.1,0,3
116,11534,2023-05-16,Content,High,47.3,1,1
117,5769,2024-06-27,Content,High,1.0,1,2
118,17723,2024-08-19,Login,High,18.7,0,1
119,19241,2024-04-20,Other,Medium,32.9,1,1
120,7657,2023-04-07,Technical,Low,44.0,1,5
121,4019,2023-03-03,Login,Low,18.1,0,2
122,13137,2024-05-12,Technical,Medium,10.5,1,1
123,19491,2024-02-26,Payment,Low,30.0,0,3
124,14204,2024-06-14,Other,High,12.4,1,4
125,15664,2024-01-24,Login,Low,28.4,1,3
126,17731,2024-01-21,Other,Medium,11.6,0,4
127,14012,2024-06-15,Technical,Low,14.5,0,3
128,4551,2023-06-04,Content,Low,47.9,0,1
129,8449,2024-11-09,Payment,High,21.8,0,3
130,13563,2024-04-01,Other,High,15.2,1,5
131,6347,2023-06-05,Technical,Medium,24.0,1,1
